lat,lon,año,elevacion_msnm,ndvi_m1,ndvi_m2,ndvi_m3,ndvi_m4,ndvi_m5,ndvi_m6,ndvi_m7,ndvi_m8,ndvi_m9,ndvi_m10,ndvi_m11,ndvi_m12,Bandera_Cultivo
13.781033173586993,-89.49800759609984,2016,538,0.5108830295522916,0.5108830295522916,0.5108830295522916,0.5108830295522916,0.5108830295522916,0.5108830295522916,0.5108830295522916,0.5108830295522916,0.5108830295522916,0.5108830295522916,0.5108830295522916,0.5108830295522916,Pastizal
13.781033173586993,-89.49800759609984,2017,538,0.4772689700776988,0.4039071631324094,0.428877368079597,0.4538475730267846,0.4788177779739722,0.5037879829211598,0.5287581878683474,0.553728392815535,0.5786985977627226,0.5716469297189948,0.5645952616752669,0.557543593631539,Pastizal
13.781033173586993,-89.49800759609984,2018,538,0.5022331741875866,0.4862118041597986,0.47019043413201056,0.45416906410422253,0.4381476940764345,0.4221263240486465,0.4919834264096559,0.5945231056480473,0.5921421889616464,0.5958366693354684,0.4828302188148858,0.4928137975087831,Pastizal
13.781033173586993,-89.49800759609984,2019,538,0.4245885119247564,0.3691605198454513,0.12502430488042,0.1535934291581109,0.21096989325316065,0.2683463573482104,0.32572282144326015,0.3830992855383099,0.5713162446925617,0.5299393962992023,0.4885625479058428,0.4471856995124834,Pastizal
13.781033173586993,-89.49800759609984,2020,538,0.4716839134524929,0.4716839134524929,0.4716839134524929,0.4716839134524929,0.4716839134524929,0.4716839134524929,0.4716839134524929,0.4952478432519374,0.2517985611510791,0.5346848273677542,0.5613577023498695,0.5213458181241073,Pastizal
13.781033173586993,-89.49800759609984,2021,538,0.4937130177514793,0.4937130177514793,0.4937130177514793,0.4937130177514793,0.4937130177514793,0.4937130177514793,0.42575842127549285,0.3578038247995064,0.4666899807658681,0.4578729281767956,0.1149791615592056,0.1495988673902784,Pastizal
13.781033173586993,-89.49800759609984,2022,538,0.6072939460247995,0.6072939460247995,0.6072939460247995,0.6072939460247995,0.6072939460247995,0.6072939460247995,0.6072939460247995,0.5943548727632424,0.5814157995016854,0.512480252764613,0.4992433159576256,0.4555971418849949,Cultivo Perenne (Café)
13.781033173586993,-89.49800759609984,2023,538,0.6187774783718621,0.6187774783718621,0.6187774783718621,0.6187774783718621,0.6187774783718621,0.6187774783718621,0.6187774783718621,0.6187774783718621,0.6187774783718621,0.0900832702498107,0.5812917594654788,0.5175480387486104,Cultivo Perenne (Café)
13.781033173586993,-89.49800759609984,2024,538,0.6030377139915047,0.6030377139915047,0.6030377139915047,0.6030377139915047,0.6030377139915047,0.6030377139915047,0.6030377139915047,0.6030377139915047,0.6030377139915047,0.5799161805579636,0.5567946471244225,0.54937106918239,Cultivo Perenne (Café)
13.781033173586993,-89.49800759609984,2025,538,0.616196254286468,0.616196254286468,0.616196254286468,0.616196254286468,0.616196254286468,0.616196254286468,0.616196254286468,0.616196254286468,0.616196254286468,0.5593372145096283,0.5723562152133581,0.5447592067988668,Cultivo Perenne (Café)
